m	p	Niter	nfg	f	n
5	2	13	20	9216065.53235426	2000
6	2	13	20	9216065.53235402	2000
7	2	13	20	9216065.53235432	2000
8	2	13	20	9216065.53235444	2000
9	2	13	20	9216065.53235444	2000
10	2	13	20	9216065.53235402	2000
11	2	13	20	9216065.53235402	2000
12	2	13	20	9216065.53235432	2000
13	2	13	20	9216065.53235432	2000
14	2	13	20	9216065.53235432	2000
15	2	13	20	9216065.53235432	2000
16	2	13	20	9216065.53235432	2000
17	2	13	20	9216065.53235432	2000
18	2	13	20	9216065.53235432	2000
19	2	13	20	9216065.53235432	2000
20	2	13	20	9216065.53235432	2000
5	1.1	25	64	152913.131301029	2000
6	1.1	27	67	152913.075930461	2000
7	1.1	23	59	152913.112734527	2000
8	1.1	23	64	152913.123224898	2000
9	1.1	35	95	152913.075631105	2000
10	1.1	28	64	152913.076999513	2000
11	1.1	39	102	152913.076179242	2000
12	1.1	31	70	152913.07790417	2000
13	1.1	29	68	152913.115345985	2000
14	1.1	28	64	152913.092527532	2000
15	1.1	30	67	152913.075705959	2000
16	1.1	33	72	152913.08127456	2000
17	1.1	33	72	152913.080973055	2000
18	1.1	33	72	152913.08097607	2000
19	1.1	33	72	152913.080977712	2000
20	1.1	33	72	152913.080978254	2000
5	1.01	25	92	101450.088131785	2000
6	1.01	27	101	101450.088130438	2000
7	1.01	24	87	101450.088129804	2000
8	1.01	28	110	101450.088128727	2000
9	1.01	41	132	101348.635449713	2000
10	1.01	43	143	101348.608357349	2000
11	1.01	28	130	101353.812962546	2000
12	1.01	39	124	101348.929610535	2000
13	1.01	34	109	101348.76398165	2000
14	1.01	26	117	101359.283808513	2000
15	1.01	42	144	101348.595950483	2000
16	1.01	33	113	101348.599235812	2000
17	1.01	39	128	101348.596221067	2000
18	1.01	30	100	101348.614238415	2000
19	1.01	49	179	101348.595921346	2000
20	1.01	29	94	101348.656972844	2000
5	1.001	23	80	97362.697921398	2000
6	1.001	26	91	97362.6979211214	2000
7	1.001	30	80	97265.4128522599	2000
8	1.001	54	147	97265.2973235616	2000
9	1.001	515	1077	97265.5645213538	2000
10	1.001	523	1093	97265.5465360302	2000
11	1.001	536	1119	97265.5529883595	2000
12	1.001	572	1191	97265.5503061455	2000
13	1.001	622	1291	97265.5582378428	2000
14	1.001	695	1437	97265.5463313723	2000
15	1.001	695	1437	97265.5454384753	2000
16	1.001	695	1437	97265.5446954848	2000
17	1.001	695	1437	97265.5447314127	2000
18	1.001	695	1437	97265.5446680156	2000
19	1.001	695	1437	97265.5449736522	2000
20	1.001	695	1437	97265.5449736522	2000
5	1.0001	23	100	96963.1355106977	2000
6	1.0001	33	145	96866.1391054373	2000
7	1.0001	139	335	96866.3253974855	2000
8	1.0001	20	116	96881.4067794222	2000
9	1.0001	20	116	96881.3138312926	2000
10	1.0001	20	116	96872.2199247861	2000
11	1.0001	20	114	96872.108517639	2000
12	1.0001	20	116	96872.0573292861	2000
13	1.0001	20	116	96871.793835811	2000
14	1.0001	20	116	96871.7623796901	2000
15	1.0001	20	116	96871.6362152705	2000
16	1.0001	20	116	96871.636214226	2000
17	1.0001	20	116	96871.6362140949	2000
18	1.0001	20	116	96871.636214071	2000
19	1.0001	20	116	96871.636214071	2000
20	1.0001	20	116	96871.636214071	2000
5	1.00001	34	120	96826.4982203761	2000
6	1.00001	38	188	96826.4105610464	2000
7	1.00001	119	311	96826.3103493688	2000
8	1.00001	36	159	96826.3103142596	2000
9	1.00001	31	115	96826.3191461989	2000
10	1.00001	29	126	96826.3865233431	2000
11	1.00001	25	94	96826.4344984987	2000
12	1.00001	21	118	96837.8575323569	2000
13	1.00001	36	152	96826.3088602612	2000
14	1.00001	21	117	96848.7774402386	2000
15	1.00001	21	116	96847.3286191997	2000
16	1.00001	21	116	96847.2738590467	2000
17	1.00001	21	116	96847.050421736	2000
18	1.00001	21	116	96847.0504215866	2000
19	1.00001	21	116	96847.0504215556	2000
20	1.00001	21	116	96847.0504215556	2000
5	1.000001	24	133	96822.3932833865	2000
6	1.000001	72	181	96822.3914148465	2000
7	1.000001	9067	18211	96822.3273166361	2000
8	1.000001	10000	20039	96892.4378906367	2000
9	1.000001	10000	20039	96847.3240857281	2000
10	1.000001	967	1973	96822.3638857417	2000
11	1.000001	10000	20039	96827.4797845278	2000
12	1.000001	10000	20039	96827.4788774034	2000
13	1.000001	10000	20039	96827.4787129487	2000
14	1.000001	10000	20039	96827.474462209	2000
15	1.000001	10000	20039	96827.474462209	2000
16	1.000001	10000	20039	96827.474462209	2000
17	1.000001	10000	20039	96827.474462209	2000
18	1.000001	10000	20039	96827.474462209	2000
19	1.000001	10000	20039	96827.474462209	2000
20	1.000001	10000	20039	96827.474462209	2000
5	1.0000001	24	103	96821.9467361849	2000
6	1.0000001	18	135	96821.9288648825	2000
7	1.0000001	16	75	96821.9288600886	2000
8	1.0000001	16	75	96821.9288599565	2000
9	1.0000001	16	75	96821.928860111	2000
10	1.0000001	16	75	96821.928860102	2000
11	1.0000001	16	75	96821.9288601511	2000
12	1.0000001	16	103	96821.9288581982	2000
13	1.0000001	16	103	96821.9288581982	2000
14	1.0000001	16	103	96821.9288581982	2000
15	1.0000001	16	103	96821.9288581982	2000
16	1.0000001	16	103	96821.9288581982	2000
17	1.0000001	16	103	96821.9288581982	2000
18	1.0000001	16	103	96821.9288581982	2000
19	1.0000001	16	103	96821.9288581982	2000
20	1.0000001	16	103	96821.9288581982	2000
5	1.00000001	23	127	96821.891916553	2000
6	1.00000001	19	101	96821.909280105	2000
7	1.00000001	19	101	96821.9195895029	2000
8	1.00000001	21	106	96821.9088111019	2000
9	1.00000001	19	84	96821.8930826482	2000
10	1.00000001	19	95	96821.9138854596	2000
11	1.00000001	19	95	96821.9138848781	2000
12	1.00000001	19	95	96821.9138846005	2000
13	1.00000001	19	95	96821.9138844786	2000
14	1.00000001	19	95	96821.91388435	2000
15	1.00000001	19	95	96821.9138845524	2000
16	1.00000001	19	95	96821.9138845689	2000
17	1.00000001	19	95	96821.9138842434	2000
18	1.00000001	19	95	96821.9138842434	2000
19	1.00000001	19	95	96821.9138842434	2000
20	1.00000001	19	95	96821.9138842434	2000
5	1.000000001	21	112	96821.8885198427	2000
6	1.000000001	18	90	96822.0749786394	2000
7	1.000000001	21	115	96821.8928204241	2000
8	1.000000001	19	106	96821.9224368755	2000
9	1.000000001	20	105	96821.9270699902	2000
10	1.000000001	19	107	96821.9311190397	2000
11	1.000000001	19	107	96821.9311138496	2000
12	1.000000001	19	107	96821.931116117	2000
13	1.000000001	19	107	96821.93111571	2000
14	1.000000001	19	107	96821.9311167864	2000
15	1.000000001	19	107	96821.9311167531	2000
16	1.000000001	19	107	96821.9311168387	2000
17	1.000000001	19	107	96821.9311167863	2000
18	1.000000001	19	107	96821.9311167863	2000
19	1.000000001	19	107	96821.9311167863	2000
20	1.000000001	19	107	96821.9311167863	2000
5	1.0000000001	20	90	96822.1501709161	2000
6	1.0000000001	21	107	96821.9157706413	2000
7	1.0000000001	24	151	96821.8883536312	2000
8	1.0000000001	16	91	96822.0270127203	2000
9	1.0000000001	19	107	96821.9586648767	2000
10	1.0000000001	22	127	96821.9055670104	2000
11	1.0000000001	22	127	96821.9055699704	2000
12	1.0000000001	22	127	96821.9055678774	2000
13	1.0000000001	22	127	96821.9055697838	2000
14	1.0000000001	22	127	96821.905565369	2000
15	1.0000000001	22	127	96821.9055656002	2000
16	1.0000000001	22	127	96821.905566159	2000
17	1.0000000001	22	127	96821.9055653543	2000
18	1.0000000001	22	127	96821.9055661382	2000
19	1.0000000001	22	127	96821.9055654513	2000
20	1.0000000001	22	127	96821.9055655615	2000
5	1	21	107	96821.9286615131	2000
6	1	19	107	96822.1176751706	2000
7	1	22	134	96821.8865250406	2000
8	1	19	111	96821.8858140132	2000
9	1	16	91	96822.0647137584	2000
10	1	22	130	96821.8976682021	2000
11	1	22	130	96821.8976499524	2000
12	1	22	130	96821.8976488925	2000
13	1	22	130	96821.8976591888	2000
14	1	22	130	96821.897658086	2000
15	1	22	130	96821.8976544667	2000
16	1	22	130	96821.8976573277	2000
17	1	22	130	96821.89765618	2000
18	1	22	130	96821.8976585417	2000
19	1	22	130	96821.8976574483	2000
20	1	22	130	96821.8976568496	2000
